name;price;yearOfRegistration;powerPS;kilometer;monthOfRegistration
BMW_435i_Sport_coupe;39600;2014;306;30000;7
BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!;23490;2013;143;40000;6
Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik;22999;2012;303;50000;4
Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach;20300;2010;204;80000;12
A5_Sportback_2.7_Tdi;18300;2011;190;125000;5
BMW_325i_Aut.;18000;2007;218;20000;5
Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine;17999;2011;190;70000;3
BMW_325_i_Cabrio_wenig_Kilometer;14999;2007;218;50000;8
BMW_120i_Cabrio_mit_M_Paket;14800;2008;170;125000;4
Ford_C___Max_Titanium_1_0_L_EcoBoost;14500;2014;125;30000;8
Audi_A1_1.2_TFSI_S_Line;14500;2013;86;60000;4
Mercedes_Benz_B180_Automatik;13500;2012;109;150000;7
BMW_E60_530XD;12500;2006;231;150000;11
Abschleppwagen_Vw_LT_195.000_gruene_Plakette_T?V_8/2017;11900;2002;129;150000;11
Opel_Astra_1.4_mit_vielen_Extras!!!!;10900;2017;101;50000;3
Volkswagen_Scirocco_1.4_TSI_Sport;10400;2009;160;100000;4
"Jeep_Grand_Cherokee_""Overland""";9800;2004;163;125000;8
Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!;9700;2008;160;150000;8
unfall_Opel_insignia_voll_Ausstattung__T?V_neu__ideal_fuer_Bastler;8390;2009;0;150000;0
Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl;8000;2005;185;150000;8
BMW_120d_DPF;7999;2007;177;150000;8
Bmw_318_d_Sport_Edition_Facelift;7999;2008;143;150000;12
Mercedes_Benz_C_180_T_Kompressor_Avantgarde;7999;2008;156;150000;10
Nissan_Micra_1.2_CVT;7999;2013;80;40000;4
VW_Golf_6___Klima___Alu___Scheckheft_!!!;7750;2017;80;100000;1
Ford_C_MAX_2.0_TDCi_DPF_Titanium;7550;2007;136;150000;6
E_500_Avantgarde_AMG_Ausstattung;7500;2002;306;150000;4
Audi_A8_3.0_TDI_quattro;7499;2004;232;150000;3
530d_XDRIVE_235_PS;7300;2009;235;100000;3
Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline;7000;2006;105;100000;10
Mini_One_Pepper_Scheckheftgepflegt;6990;2007;95;100000;8
