name;first_name;age;nation;league;team;goals_selection;selections_nation;position;price;end_contract;goal_champ;assist_champ;own_goal_champ;sub_on_champ;sub_out_champ;yellow_card_champ;second_yellow_card_champ;red_card_champ;penalty_goal_champ;goal_cup;assist_cup;own_goal_cup;sub_on_cup;sub_out_cup;yellow_card_cup;second_yellow_card_cup;red_card_cup;penalty_goal_cup;goal_continent;assist_continent;own_goal_continent;sub_on_continent;sub_out_continent;yellow_card_continent;second_yellow_card_continent;red_card_continent;penalty_goal_continent
Dybala;Paulo;25;Argentina;SerieA;Juventus;1;18;SecondStriker;110000000;4;79;44;0;37;95;14;0;0;15;10;3;0;8;8;2;0;0;3;11;0;0;4;16;3;1;0;1
RobertoFirmino;;27;Brazil;PremierLeague;Liverpool;8;28;SecondStriker;80000000;5;103;66;0;50;110;37;0;0;5;2;2;0;3;7;0;0;0;0;13;11;0;4;20;4;0;0;0
Müller;Thomas;29;Germany;Bundesliga;BayernMunich;38;100;SecondStriker;40000000;3;181;139;0;52;149;26;0;0;18;0;0;0;0;0;0;0;0;0;42;20;0;22;31;5;1;1;7
Rebic;Ante;25;Croatia;Bundesliga;E.Frankfurt;2;26;SecondStriker;35000000;4;37;14;0;48;70;47;3;2;0;1;0;0;0;2;0;0;0;0;0;0;0;3;2;2;0;1;0
Marega;Moussa;27;Mali;LigaNOS;FCPorto;2;17;SecondStriker;26000000;3;54;26;0;17;21;13;1;1;3;10;3;0;3;4;8;0;0;0;5;4;0;0;2;1;0;0;2
Gregoritsch;Michael;24;Austria;Bundesliga;FCAugsburg;1;11;SecondStriker;20000000;4;56;18;0;92;84;36;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luan;;25;Brazil;SérieA;Grêmio;0;2;SecondStriker;20000000;2;29;24;0;4;44;20;0;0;4;0;0;0;0;0;0;0;0;0;12;7;0;2;14;2;0;0;2
Philipp;Maximilian;24;Germany;Bundesliga;Bor.Dortmund;0;10;SecondStriker;18000000;4;81;49;0;52;79;19;0;1;11;0;0;0;0;0;0;0;0;0;0;1;0;4;2;0;0;0;0
PapuGómez;;30;Argentina;SerieA;Atalanta;1;4;SecondStriker;16000000;4;77;75;0;61;150;36;2;3;6;6;7;0;7;15;6;0;0;0;4;1;0;11;8;4;0;0;0
King;Joshua;27;Norway;PremierLeague;Bournemouth;12;37;SecondStriker;15000000;3;53;29;0;61;99;10;0;0;7;6;5;0;10;6;4;0;0;0;0;1;0;1;0;0;0;0;0
Stindl;Lars;30;Germany;Bundesliga;Bor.M'gladbach;4;11;SecondStriker;15000000;3;87;65;1;38;79;94;3;0;4;0;0;0;0;0;0;0;0;0;12;9;0;0;8;12;1;0;2
JoãoFélix;;19;Portugal;LigaNOS;Benfica;4;10;SecondStriker;15000000;5;12;7;0;17;18;6;0;0;2;2;0;0;2;0;0;0;0;0;7;1;0;0;10;4;0;0;1
Goulart;Ricardo;27;Brazil;SérieA;Palmeiras;0;1;SecondStriker;15000000;1;113;65;0;29;43;27;0;1;15;4;4;0;0;1;3;0;0;1;29;8;0;3;17;2;0;0;5
Pérez;Ayoze;25;Spain;PremierLeague;Newcastle;0;2;SecondStriker;10000000;3;49;21;1;52;63;14;0;0;0;6;2;0;10;1;4;0;0;0;0;0;0;0;0;0;0;0;0
Caprari;Gianluca;25;Italy;SerieA;Sampdoria;0;0;SecondStriker;10000000;4;56;21;0;68;96;23;3;0;2;4;2;0;2;4;2;0;0;0;0;0;0;1;2;0;0;0;0
Zahavi;Eran;31;Israel;SuperLeague;GZR&F;6;40;SecondStriker;9000000;2;190;45;0;33;73;35;0;0;28;16;6;0;2;1;2;0;0;6;8;2;0;5;5;1;0;0;4
Trincão;;19;Portugal;LigaNOS;Braga;0;2;SecondStriker;8000000;5;6;6;0;19;20;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barbosa;Gabriel;22;Brazil;SérieA;Flamengo;2;4;SecondStriker;8000000;1;43;13;0;26;58;22;0;1;4;1;0;0;0;3;0;0;0;0;1;0;0;2;0;1;1;0;0
Éder;;32;Italy;SuperLeague;JSSuning;6;26;SecondStriker;7000000;3;124;49;0;87;121;54;4;1;24;3;1;0;2;12;2;0;0;0;2;2;0;1;2;0;0;0;0
Giovinco;Sebastian;32;Italy;ProfessionalLeague;Hilal;1;23;SecondStriker;6000000;;114;82;0;71;82;38;1;1;14;12;7;0;2;13;4;0;0;1;6;9;0;19;7;6;0;0;1
Mehmedi;Admir;27;Switzerland;Bundesliga;VfLWolfsburg;8;60;SecondStriker;5000000;4;70;38;0;106;116;24;0;1;2;0;0;0;0;0;0;0;0;0;7;1;0;15;9;4;0;0;0
Eduardo;Wilson;28;Portugal;LigaNOS;Braga;6;14;SecondStriker;5000000;2;49;26;0;60;88;20;0;1;7;13;10;0;9;14;3;0;0;1;6;4;0;7;13;3;0;0;1
Almada;Thiago;17;Argentina;PrimeraDivisión;VélezSarsfield;0;0;SecondStriker;5000000;3;3;2;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mbappé;Kylian;20;France;Ligue1;ParisSG;10;28;RightWinger;200000000;4;47;27;0;27;22;8;0;1;0;10;8;0;2;5;0;0;1;1;13;9;0;5;10;2;0;0;0
Messi;Lionel;31;Argentina;LaLiga;FCBarcelona;65;128;RightWinger;160000000;3;410;166;0;51;51;43;0;0;49;63;39;0;13;8;14;0;0;6;106;28;0;12;10;10;0;0;11
Salah;Mohamed;26;Egypt;PremierLeague;Liverpool;39;62;RightWinger;150000000;5;113;62;0;57;90;12;1;0;4;6;4;0;5;5;0;0;0;0;21;13;0;9;23;2;0;0;1
Sterling;Raheem;24;England;PremierLeague;ManCity;4;47;RightWinger;120000000;5;67;69;0;36;69;23;1;0;1;10;16;0;8;5;8;0;0;0;10;10;1;16;14;6;0;0;0
Bale;Gareth;29;Wales;LaLiga;RealMadrid;31;74;RightWinger;80000000;4;129;94;1;30;73;39;0;2;2;7;18;0;5;7;2;0;0;1;24;21;0;13;22;5;0;0;0
Sancho;Jadon;18;England;Bundesliga;Bor.Dortmund;0;3;RightWinger;70000000;4;24;23;0;17;16;2;0;1;2;2;2;0;2;4;0;0;0;0;6;2;0;3;4;2;0;0;1
